market_id,year,value_usd_b,low,high,confidence,definition,publisher,source_title,source_date,source_kind,reliability,url,quote,verified,notes
ai-coding-assistants,2024,0.55,,,reported,Menlo Ventures enterprise spend on AI coding tools,Menlo Ventures,2025: The State of Generative AI in the Enterprise,2025-12-09,analyst,secondary,https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/,The sharp jump from $550M to $4B in 2025,yes,Primary Menlo chart caption; enterprise spend only.
ai-coding-assistants,2025,4,,,reported,Menlo Ventures enterprise spend on AI coding tools,Menlo Ventures,2025: The State of Generative AI in the Enterprise,2025-12-09,analyst,secondary,https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/,Coding is the clear standout at $4.0 billion (55% of departmental AI spend),yes,Enterprise spend on AI coding tools (code completion 2.3 + agents/app builders). Excludes individual consumer subscriptions partially.
crm,2007,8.13,,,reported,Gartner CRM software revenue,Gartner,Gartner Says Worldwide CRM Market Grew 12.5 Percent in 2008,2009-07-15,analyst,secondary,https://insurance-canada.ca/2009/07/15/gartner-says-worldwide-crm-market-grew-12-5-percent-in-2008/,,yes,"Same release as the 2008 row, which gives 2007 revenue of $8.13B as the growth base. Reprint of the Gartner release. Narrower pre-2014 CRM definition"
crm,2008,9.15,,,reported,Gartner CRM software revenue,Gartner,Gartner Says Worldwide CRM Market Grew 12.5 Percent in 2008,2009-07-15,analyst,secondary,https://insurance-canada.ca/2009/07/15/gartner-says-worldwide-crm-market-grew-12-5-percent-in-2008/,revenue totalled $9.15 billion in 2008,yes,Reprint of the Gartner release on insurance-canada.ca. Narrower pre-2014 CRM definition
crm,2012,18,,,reported,Gartner CRM software revenue,Gartner,Gartner Says Customer Relationship Management Software Market Grew 13.7 Percent in 2013 (reprint),2014-05-06,press,secondary,https://workflowotg.com/gartner-says-customer-relationship-management-software-market-grew-13-7-percent-in-2013/,"totaled $20.4 billion in 2013, up 13.7 percent from $18 billion in 2012",yes,
crm,2013,20.4,,,reported,Gartner CRM software revenue,Gartner,Gartner Says Customer Relationship Management Software Market Grew 13.7 Percent in 2013 (reprint),2014-05-06,press,secondary,https://workflowotg.com/gartner-says-customer-relationship-management-software-market-grew-13-7-percent-in-2013/,"totaled $20.4 billion in 2013, up 13.7 percent from $18 billion in 2012",yes,
crm,2014,23.2,,,estimated,Gartner CRM software revenue,Gartner,Gartner CRM Market Share Update: 47% Of All CRM Systems Are SaaS-Based (Forbes),2015-05-22,analyst,secondary,https://www.forbes.com/sites/louiscolumbus/2015/05/22/gartner-crm-market-share-update-47-of-all-crm-systems-are-saas-based-salesforce-accelerates-lead/,"The worldwide CRM market grew 13.3% in the last year, from $20.4B in 2013 to $23.2B in 2014.",no,Secondary (Forbes contributor) summarising Gartner market share report. Restated to 23.4 in the 2016 release.
crm,2015,26.3,,,reported,Gartner CRM software revenue,Gartner,Gartner says CRM software market grew 12.3 percent in 2015 (IDM),2016-05-28,press,secondary,http://idm.net.au/article/0011036-gartner-says-crm-software-market-grew-123-percent-2015,"Worldwide customer relationship management (CRM) software totaled $26.3B in 2015, up 12.3% from $23.4B in 2014.",yes,Secondary summary of Gartner press release 'CRM Software Market Grew 12.3 Percent'. Note 2014 restated 23.2->23.4.
crm,2018,48.2,,,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Worldwide Customer Experience and Relationship Management Software Market Grew 15.6% in 2018: Gartner (CIOL),2019-06-17,press,secondary,https://www.ciol.com/worldwide-customer-experience-relationship-management-software-market-grew-15-6-2018-gartner/,grew 15.6% to reach $48.2 billion in 2018,yes,Broader CX + CRM definition from here on. Sourced independently; it happens to match the template example
crm,2019,61.6,,,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Four Interesting Insights From Gartner 2020 CRM Market Share Update,2021-07-09,analyst,secondary,https://softwarestrategiesblog.com/2021/07/09/four-interesting-insights-from-gartner-2020-crm-market-share-update/,The worldwide CRM market grew from $61.6 billion in 2019.,yes,Gartner 'Customer Experience and Relationship Management' scope (broader than pre-2018 CRM). Blog quoting paywalled Gartner report.
