file,market_id,year,company,value,url,http_status,fetch_method,value_found,verbatim_quote_found,verdict,reason
market-sizes.csv,crm,2007,,8.13,https://insurance-canada.ca/2009/07/15/gartner-says-worldwide-crm-market-grew-12-5-percent-in-2008/,200,WebFetch,yes,"n/a (quote empty); found: ""Worldwide CRM market revenue totalled $9.15 billion in 2008, a 12.5 percent increase from 2007 revenue of $8.13 billion""",reported,"Read on fetched page (secondary reprint of Gartner release). Narrow pre-2014 CRM definition."
market-sizes.csv,crm,2008,,9.15,https://insurance-canada.ca/2009/07/15/gartner-says-worldwide-crm-market-grew-12-5-percent-in-2008/,200,WebFetch,yes,yes,reported,"Read on fetched page. Page also gives 2008 vendor shares (SAP 22.5, Oracle 16.1, Salesforce 10.6, Microsoft 6.4) not in intake."
market-sizes.csv,crm,2012,,18.0,https://www.gartner.com/en/newsroom/press-releases/2014-05-06-gartner-says-customer-relationship-management-software-market-grew-13-percent-in-2013,403,"WebFetch 403; retried http:// and no-www forms on sample Gartner URLs (403); web.archive.org not permitted for the fetch tool",no,no (page not retrieved),estimated,"Corroborated on fetched reprint workflowotg.com: ""totaled $20.4 billion in 2013, up 13.7 percent from $18 billion in 2012"" and by Gartner search snippet."
market-sizes.csv,crm,2013,,20.4,https://www.gartner.com/en/newsroom/press-releases/2014-05-06-gartner-says-customer-relationship-management-software-market-grew-13-percent-in-2013,403,"WebFetch 403; alt forms 403; archive not permitted",no,no (page not retrieved),estimated,"Corroborated on fetched reprint workflowotg.com (same sentence as quote)."
market-sizes.csv,crm,2018,,48.2,https://www.gartner.com/en/newsroom/press-releases/2019-06-17-gartner-says-worldwide-customer-experience-and-relati,403,"WebFetch 403; alt forms 403; archive not permitted",no,no (page not retrieved),estimated,"Corroborated on fetched reprint ciol.com: ""grew 15.6% to reach $48.2 billion in 2018"". Broader CX+CRM definition."
market-sizes.csv,crm,2022,,96.3,https://www.gartner.com/en/documents/4700599,403,"WebFetch 403; http://gartner.com variant 403; archive not permitted",no,no (page not retrieved),estimated,"Only corroboration is a search-result snippet of the same Gartner abstract (""grew by 14.0% to $96.3 billion in 2022""); no fetchable secondary page found."
market-sizes.csv,crm,2024,,128,https://www.gartner.com/en/documents/6582102,403,"WebFetch 403; archive not permitted",no,no (page not retrieved),estimated,"Search-result snippet of the same abstract matches (""grew 13.4% in current USD terms, to $128 billion in 2024""). No fetchable secondary."
market-sizes.csv,databases,2005,,13.8,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,403,"WebFetch 403; retried http:// 403",no,no (page not retrieved),estimated,"Search snippet of this Business Wire page: ""going from $12.8 billion in 2004 total software to $13.8 billion in 2005"". RDBMS only."
market-sizes.csv,databases,2006,,15.2,https://www.itjungle.com/2007/06/25/tfh062507-story08/,200,WebFetch,yes,yes,reported,"Read on fetched page: ""sales worldwide for databases grew by 14 percent in 2006, hitting $15.2 billion in sales"". Secondary."
market-sizes.csv,databases,2018,,46,https://www.gartner.com/en/newsroom/press-releases/2019-07-01-gartner-says-the-future-of-the-database-market-is-the,403,"WebFetch 403; archive not permitted",no,no (page not retrieved),estimated,"Corroborated on fetched siliconangle.com: ""worldwide database management system revenue grew in 2018 by 18.4%, to $46 billion"". Definition change (full DBMS)."
market-sizes.csv,databases,2021,,80,https://clouddb.substack.com/p/gartner-microsoft-1-in-database-revenue,200,WebFetch,partial,yes,estimated,"Page says ""nearly $80 billion"" (approximate; keep high=80). Secondary newsletter."
market-sizes.csv,databases,2022,,91,https://www.gartner.com/en/documents/4432699,403,"WebFetch 403; archive not permitted",no,no (page not retrieved),estimated,"Search snippet of same abstract: ""growth of 14.4% to reach over $91 billion"" (approximate lower bound)."
market-sizes.csv,databases,2023,,103.2,https://www.gartner.com/en/documents/5441963,403,"WebFetch 403; archive not permitted",no,no (page not retrieved),estimated,"Search snippet of same abstract: ""grew by 13.4% in 2023, reaching $103.2 billion""."
market-sizes.csv,databases,2024,,119.7,https://www.gartner.com/en/documents/6588602,403,"WebFetch 403; archive not permitted",no,no (page not retrieved),estimated,"Search snippet: ""grew 13.4% to reach over $119.7 billion"" (approximate lower bound)."
market-sizes.csv,security-software,2004,,6.4,https://www.researchgate.net/figure/Growth-of-Worldwide-Security-Software-Market-Source-Gartner-Group-press-releases_fig1_256695271,403,"WebFetch 403; retried http:// 403",no,no (page not retrieved),estimated,"Search snippet of same page: ""from nearly US$6.4 billion in 2004 to about US$17.7 billion in 2011"". Approximate (""nearly"")."
market-sizes.csv,security-software,2009,,14.8,https://www.webwire.com/ViewPressRel.asp?aId=121439,200,WebFetch,yes,yes,reported,"Read on fetched page. Release date shown: 16 August 2010 (fills empty source_date). Telecompaper (2011) restates 2009 as 14.7."
market-sizes.csv,security-software,2011,,17.7,https://www.researchgate.net/figure/Growth-of-Worldwide-Security-Software-Market-Source-Gartner-Group-press-releases_fig1_256695271,403,"WebFetch 403; retried http:// 403",no,no (page not retrieved),estimated,"Search snippet of same page (""about US$17.7 billion in 2011""). Approximate."
market-sizes.csv,security-software,2012,,19.0,https://www.gartner.com/en/newsroom/press-releases/2014-06-10-gartner-says-worldwide-security-software-market-grew-5-percent-in-2013,403,"WebFetch 403; archive not permitted",no,no (page not retrieved),estimated,"Search snippet of same release: ""$19.9 billion in 2013, a 4.9 percent increase from 2012 revenue of $19.0 billion""."
market-sizes.csv,security-software,2013,,20.3,https://www.gartner.com/en/newsroom/press-releases/2015-05-27-gartner-says-worldwide-security-software-market-grew-5-percent-in-2014,403,"WebFetch 403; archive not permitted",no,no (page not retrieved),estimated,"Corroborated on fetched aseantechsec.com reprint (table Total 2013 = 20,348) and theregister.com (""2013's revenue of $20.3bn"")."
