market_id,year,value_usd_b,low,high,kind,publisher,source_title,source_date,url,quote,notes,batch
crm,2007,8.13,,,actual,Gartner,Gartner Says Worldwide CRM Market Grew 12.5 Percent in 2008,2009-07-15,https://insurance-canada.ca/2009/07/15/gartner-says-worldwide-crm-market-grew-12-5-percent-in-2008/,,"Same release as the 2008 row, which gives 2007 revenue of $8.13B as the growth base. Reprint of the Gartner release. Narrower pre-2014 CRM definition",1
crm,2008,9.15,,,actual,Gartner,Gartner Says Worldwide CRM Market Grew 12.5 Percent in 2008,2009-07-15,https://insurance-canada.ca/2009/07/15/gartner-says-worldwide-crm-market-grew-12-5-percent-in-2008/,revenue totalled $9.15 billion in 2008,Reprint of the Gartner release on insurance-canada.ca. Narrower pre-2014 CRM definition,1
crm,2012,18.0,,,actual,Gartner,Gartner Says Customer Relationship Management Software Market Grew 13.7 Percent in 2013,2014-05-06,https://www.gartner.com/en/newsroom/press-releases/2014-05-06-gartner-says-customer-relationship-management-software-market-grew-13-percent-in-2013,"totaled $20.4 billion in 2013, up 13.7 percent from $18 billion in 2012",,1
crm,2013,20.4,,,actual,Gartner,Gartner Says Customer Relationship Management Software Market Grew 13.7 Percent in 2013,2014-05-06,https://www.gartner.com/en/newsroom/press-releases/2014-05-06-gartner-says-customer-relationship-management-software-market-grew-13-percent-in-2013,"totaled $20.4 billion in 2013, up 13.7 percent from $18 billion in 2012",,1
crm,2018,48.2,,,actual,Gartner,Gartner Says Worldwide Customer Experience and Relationship Management Software Market Grew 15.6% in 2018,2019-06-17,https://www.gartner.com/en/newsroom/press-releases/2019-06-17-gartner-says-worldwide-customer-experience-and-relati,grew 15.6% to reach $48.2 billion in 2018,Broader CX + CRM definition from here on. Sourced independently; it happens to match the template example,1
crm,2022,96.3,,,actual,Gartner,"Market Share Analysis: Customer Experience and Relationship Management Software, Worldwide, 2022",2023-08-31,https://www.gartner.com/en/documents/4700599,The CRM market grew 14.0% to $96.3 billion in 2022,Public abstract of a paywalled report (see rule 7),1
crm,2024,128,,,actual,Gartner,"Market Share: Customer Experience and Relationship Management, Worldwide, 2024",2025-06-11,https://www.gartner.com/en/documents/6582102,"grew 13.4% in current USD terms, to $128 billion in 2024","Public abstract of a paywalled report (see rule 7). Includes cross-CRM segments (CDP, VoC)",1
databases,2005,13.8,,,actual,Gartner,Gartner Says Worldwide Relational Database Market Increased 8 Percent in 2005,2006-05-24,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,total software revenue totaled $13.8 billion in 2005,RDBMS only; excludes non-relational. Business Wire copy of the Gartner release,1
databases,2006,15.2,,,actual,Gartner,"Database Sales Grew By 14.2 Percent in 2006, Says Gartner",2007-06-25,https://www.itjungle.com/2007/06/25/tfh062507-story08/,"grew by 14 percent in 2006, hitting $15.2 billion in sales",RDBMS only. Secondary report (IT Jungle) of Gartner figures,1
databases,2018,46,,,actual,Gartner,Gartner Says the Future of the Database Market Is the Cloud,2019-07-01,https://www.gartner.com/en/newsroom/press-releases/2019-07-01-gartner-says-the-future-of-the-database-market-is-the,2018 worldwide database management system (DBMS) revenue grew 18.4% to $46 billion,DEFINITION CHANGE: full DBMS incl. cloud dbPaaS and non-relational; broader than the 2005-06 RDBMS rows,1
databases,2021,80,,80,actual,Gartner,Gartner: Microsoft #1 in Database Revenue; AWS Passes Oracle; Google Cloud Gains,2022-04-20,https://clouddb.substack.com/p/gartner-microsoft-1-in-database-revenue,grew 22.3% in 2021 to nearly $80 billion,'Nearly $80B'. Secondary (Cloud Database Report newsletter citing Gartner). Sourced independently; it happens to match the template example,1
databases,2022,91,91,,actual,Gartner,"Market Share Analysis: Database Management Systems, Worldwide, 2022",2023-06-08,https://www.gartner.com/en/documents/4432699,saw strong growth of 14.4% to reach over $91 billion,'Over $91B'. Public abstract of a paywalled report (see rule 7),1
databases,2023,103.2,,,actual,Gartner,"Market Share: Database Management Systems, Worldwide, 2023",2024-05-17,https://www.gartner.com/en/documents/5441963,"The DBMS market grew by 13.4% in 2023, reaching $103.2 billion",Public abstract of a paywalled report (see rule 7),1
databases,2024,119.7,,,actual,Gartner,"Market Share Analysis: Database Management Systems, Worldwide, 2024",2025-06-13,https://www.gartner.com/en/documents/6588602,The DBMS market for 2024 grew 13.4% to reach over $119.7 billion,Public abstract of a paywalled report (see rule 7),1
security-software,2004,6.4,,,actual,Gartner,Growth of Worldwide Security Software Market (Source: Gartner Group press releases),,https://www.researchgate.net/figure/Growth-of-Worldwide-Security-Software-Market-Source-Gartner-Group-press-releases_fig1_256695271,nearly US$6.4 billion in 2004 to about US$17.7 billion in 2011,Secondary: academic paper figure citing Gartner releases. Publication date not shown on the page. 'Nearly $6.4B',1
security-software,2009,14.8,,,actual,Gartner,Gartner Says Security Software Market is Poised for 11 Percent Growth in 2010,,https://www.webwire.com/ViewPressRel.asp?aId=121439,an 11.3 percent increase from 2009 revenue of $14.8 billion,Reprint of the Gartner release (webwire). Release date not shown on the page; 2010,1
security-software,2011,17.7,,,actual,Gartner,Growth of Worldwide Security Software Market (Source: Gartner Group press releases),,https://www.researchgate.net/figure/Growth-of-Worldwide-Security-Software-Market-Source-Gartner-Group-press-releases_fig1_256695271,nearly US$6.4 billion in 2004 to about US$17.7 billion in 2011,Secondary: academic paper figure citing Gartner releases. Publication date not shown on the page. 'About $17.7B',1
security-software,2012,19.0,,,actual,Gartner,Gartner Says Worldwide Security Software Market Grew 4.9 Percent in 2013,2014-06-10,https://www.gartner.com/en/newsroom/press-releases/2014-06-10-gartner-says-worldwide-security-software-market-grew-5-percent-in-2013,"$19.9 billion in 2013, a 4.9 percent increase from 2012 revenue of $19.0 billion",,1
security-software,2013,20.3,,,actual,Gartner,Gartner Says Worldwide Security Software Market Grew 5.3 Percent in 2014,2015-05-27,https://www.gartner.com/en/newsroom/press-releases/2015-05-27-gartner-says-worldwide-security-software-market-grew-5-percent-in-2014,"$21.4 billion in 2014, a 5.3 percent increase from 2013 revenue of $20.3 billion",Restated figure; the 2014-06-10 release gave $19.9B for 2013,1
security-software,2014,21.4,,,actual,Gartner,Gartner Says Worldwide Security Software Market Grew 5.3 Percent in 2014,2015-05-27,https://www.gartner.com/en/newsroom/press-releases/2015-05-27-gartner-says-worldwide-security-software-market-grew-5-percent-in-2014,"$21.4 billion in 2014, a 5.3 percent increase from 2013 revenue of $20.3 billion",,1
security-software,2015,22.1,,,actual,Gartner,Gartner Says Worldwide Security Software Market Grew 3.7 Percent in 2015,2016-07-14,https://www.gartner.com/en/newsroom/press-releases/2016-07-14-gartner-says-worldwide-security-software-market-grew-3-percent-in-2015,Worldwide security software revenue totaled $22.1 billion in 2015,,1
security-software,2017,32.1,,,actual,Gartner,"Market Share: Security Software, Worldwide, 2017",2018-07-24,https://www.gartner.com/en/documents/3883681,"The security software market grew 10.1% in 2017, touching $32.1 billion in revenue",Public abstract (see rule 7). LIKELY DEFINITION CHANGE: 10.1% growth implies a 2016 base of about $29B vs $22.1B for 2015,1
